solver,solved,rlimit,time,par2
z3-alpha,1617,3371967966,1193.220406293869,5753.220406293869
fastsmt,1547,3766312333,1568.7836587429047,9488.783658742905
z3,1615,10054866369,3555.9819524288177,8211.981952428818
