solver,solved,rlimit,time,par2
z3-alpha,3331,76575692988,20460.252021551132,169884.25202155113
fastsmt,3932,68314424851,20213.070842027664,140789.07084202766
z3,2905,26005063539,16823.807487487793,186695.8074874878
