solver,solved,rlimit,time,par2
z3-alpha,1792,160873498,373.13997650146484,9493.139976501465
fastsmt,1749,69456758,182.91558623313904,11366.915586233139
z3,1838,3661153358,2702.019613981247,9614.019613981247
